Unnamed: 0,Satellite ID(Fake),Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Users,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,days_since_launch,lifetime_days,RUL,mean_altitude_km,altitude_spread_km,ecc_deviation,inc_deviation_deg,period_deviation_min,launch_batch,days_since_launch_norm,anomaly
488,489,Starlink-1539 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,1.0,2020-08-07,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AX,46072.0,1242,1461.0,219.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,10,0.1981818181818178,0
47,48,Starlink-1056,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,0.0,2019-11-11,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BA,44761.0,1512,1461.0,0.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,2,0.689090909090909,1
721,722,Starlink-1781 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-18,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073R,46685.0,1170,1461.0,291.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,14,0.06727272727272693,0
332,333,Starlink-1356,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,1.0,0.8636363636363615,0.0,2020-04-22,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-025AK,45564.0,1349,1461.0,112.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,1.0,0.2372009261641312,7,0.3927272727272726,1
214,215,Starlink-1227,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.060606060606058776,0.0,2020-02-17,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012BE,45230.0,1414,1461.0,47.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.9130434782608713,5,0.5109090909090908,0
601,602,Starlink-1656,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,1.0,2020-09-03,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AE,46353.0,1215,1461.0,246.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,12,0.14909090909090894,0
825,826,Starlink-1888 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-11-24,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088BB,47171.0,1133,1461.0,328.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,16,0.0,0
816,817,Starlink-1879 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-11-24,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088AU,47164.0,1133,1461.0,328.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,16,0.0,0
51,52,Starlink-1060,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,0.0,2019-11-11,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BE,44765.0,1512,1461.0,0.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,2,0.689090909090909,1
678,679,Starlink-1736 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-06,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BF,46585.0,1182,1461.0,279.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,13,0.08909090909090889,0
39,40,Starlink-1048,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.8636363636363615,0.0,2019-11-11,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AS,44753.0,1512,1461.0,0.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.2372009261641312,2,0.689090909090909,1
267,268,Starlink-1288,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9192307692307693,0.0,0.0,0.712121212121211,0.0,2020-03-18,4.0,SpaceX,SpaceX,Cape Canaveral,Falcon 9,2020-019N,45372.0,1384,1461.0,77.0,0.9220532319391634,0.0,0.5436377757280844,0.0,0.01980962181630485,6,0.4563636363636361,0
12,13,Starlink-1020,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,0.0,2019-11-11,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074N,44725.0,1512,1461.0,0.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,2,0.689090909090909,1
97,98,Starlink-1107,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.09090909090908994,0.0,2020-01-07,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BL,44972.0,1455,1461.0,6.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.8695652173913054,3,0.5854545454545454,1
586,587,Starlink-1638 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,1.0,2020-08-18,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057T,46134.0,1231,1461.0,230.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,11,0.17818181818181777,0
542,543,Starlink-1593 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,1.0,2020-08-18,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057C,46119.0,1231,1461.0,230.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,11,0.17818181818181777,0
221,222,Starlink-1234,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.060606060606058776,0.0,2020-02-17,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012N,45190.0,1414,1461.0,47.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.9130434782608713,5,0.5109090909090908,0
659,660,Starlink-1717 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-18,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073D,46673.0,1170,1461.0,291.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,14,0.06727272727272693,0
505,506,Starlink-1556 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,0.0,0.8636363636363615,1.0,2020-08-07,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055G,46033.0,1242,1461.0,219.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,0.0,0.2372009261641312,10,0.1981818181818178,0
621,622,Starlink-1677 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-06,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AW,46576.0,1182,1461.0,279.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,13,0.08909090909090889,0
872,873,Starlink-1939 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-24,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AM,46774.0,1164,1461.0,297.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,15,0.05636363636363617,0
320,321,Starlink-1344,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9230769230769231,0.1667971431667672,1.0,0.8636363636363615,0.0,2020-04-22,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-025AE,45559.0,1349,1461.0,112.0,0.9220532319391634,0.16666666666666669,0.28011557181571267,1.0,0.2372009261641312,7,0.3927272727272726,1
110,111,Starlink-1121,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.07575757575757613,0.0,2020-01-07,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001R,44929.0,1455,1461.0,6.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.8913043478260868,3,0.5854545454545454,1
779,780,Starlink-1842 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-11-24,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088L,47132.0,1133,1461.0,328.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,16,0.0,0
860,861,Starlink-1926 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-24,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074U,46757.0,1164,1461.0,297.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,15,0.05636363636363617,0
9,10,Starlink-1016,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.8636363636363615,0.0,2019-11-11,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074K,44722.0,1512,1461.0,0.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.2372009261641312,2,0.689090909090909,1
130,131,Starlink-1141,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.09090909090908994,0.0,2020-01-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006H,45051.0,1433,1461.0,28.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.8695652173913054,4,0.5454545454545454,1
162,163,Starlink-1173,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9253731343283582,0.9230769230769231,0.08338651976668661,0.0,0.09090909090908994,0.0,2020-01-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AS,45084.0,1433,1461.0,28.0,0.9239543726235739,0.08333333333333333,0.4118957143935593,0.0,0.8695652173913054,4,0.5454545454545454,1
778,779,Starlink-1841 ,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,0.9216417910447761,0.9615384615384619,0.9999999999999999,0.0,0.8636363636363615,1.0,2020-10-18,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BM,46729.0,1170,1461.0,291.0,0.9410646387832697,0.9999999999999999,1.0,0.0,0.2372009261641312,14,0.06727272727272693,0
